study,dimension,iteration,nc1,nc2,cor
study2,simple,33,211,156,0.6639534187183966
study2,simple,34,194,172,0.7215756520250891
study2,simple,35,206,153,0.8189910312011339
study2,simple,36,187,177,0.7490281792645249
study2,simple,37,209,191,0.8662331153458154
study2,simple,38,159,196,0.7515494118167514
study2,simple,39,191,173,0.7415304528330143
study2,simple,40,192,185,0.7766186626785941
study2,simple,41,192,177,0.7318595291486636
study2,simple,42,161,199,0.7429111514972438
study2,simple,43,140,202,0.5536493739347207
study2,simple,44,166,165,0.7998078269948259
study2,simple,45,166,206,0.8507659873650586
study2,simple,46,211,145,0.8526932996503296
study2,simple,47,154,203,0.6474629210818973
study2,simple,48,200,182,0.8467933766469086
study2,simple,49,205,186,0.7633610741091449
study2,simple,50,164,182,0.3885255441245927
study2,understanding,1,173,204,0.2708448048354351
study2,understanding,2,218,195,0.5650278398966899
study2,understanding,3,209,188,0.37136641778756474
study2,understanding,4,224,175,0.6468308416704579
study2,understanding,5,196,195,0.39127677509999265
study2,understanding,6,221,180,0.3006958245461441
study2,understanding,7,208,187,0.392656052875893
study2,understanding,8,179,218,0.5736510184565844
study2,understanding,9,220,205,0.4835054271931516
study2,understanding,10,150,231,0.5652144075962432
study2,understanding,11,185,188,0.5498473789898894
study2,understanding,12,196,203,0.22760168426099492
study2,understanding,13,199,167,0.416789579154833
study2,understanding,14,214,196,0.5628038083980265
study2,understanding,15,172,245,0.7460711832004868
study2,understanding,16,209,207,0.4188164792536974
study2,understanding,17,185,183,0.36399092751716977
study2,understanding,18,210,214,0.7334892636738444
study2,understanding,19,217,163,0.5727659476185466
study2,understanding,20,219,185,0.6232051376590779
study2,understanding,21,215,174,0.7317670707001546
study2,understanding,22,213,182,0.41333614849325173
study2,understanding,23,177,210,0.4645952883609234
study2,understanding,24,168,209,0.3801830890480745
study2,understanding,25,215,169,0.2470321806437448
study2,understanding,26,168,209,0.18186650591988898
study2,understanding,27,180,220,0.4806325799465315
study2,understanding,28,209,179,0.44603654684929767
study2,understanding,29,200,184,0.45220639862684897
study2,understanding,30,216,182,0.4974119105785455
study2,understanding,31,201,189,0.43934409884881803
study2,understanding,32,134,217,0.5349966459396001
study2,understanding,33,200,186,0.5735615963334147
study2,understanding,34,180,179,0.48071217465010907
study2,understanding,35,138,216,0.4268324332131975
study2,understanding,36,168,219,0.13098695208662703
study2,understanding,37,228,159,0.6289751077050776
study2,understanding,38,188,205,0.598130042854601
study2,understanding,39,166,201,0.4106340239007161
study2,understanding,40,200,197,0.6671501974053541
study2,understanding,41,202,175,0.6011004781922562
study2,understanding,42,199,178,0.7264030049952541
study2,understanding,43,197,182,0.7562654190376074
study2,understanding,44,179,177,0.6509917699941947
study2,understanding,45,190,228,0.43209473430725837
study2,understanding,46,211,148,0.5429911077239531
study2,understanding,47,130,212,0.3304777029215209
study2,understanding,48,219,214,0.7608979865655489
study2,understanding,49,180,220,0.4912593186315802
study2,understanding,50,187,181,0.6666185636342458
study2,marks,1,148,217,0.8282764890382264
study2,marks,2,185,172,0.8421590940910005
study2,marks,3,186,186,0.9097870000337263
study2,marks,4,197,175,0.8211848634127569
study2,marks,5,187,187,0.844033117225993
study2,marks,6,187,170,0.8979320793147458
study2,marks,7,206,175,0.851696161342537
study2,marks,8,175,182,0.8268133537150123
study2,marks,9,167,203,0.8218214174105256
study2,marks,10,207,160,0.9308630500958313
study2,marks,11,196,178,0.8179355767208543
study2,marks,12,183,191,0.8756942046048104
study2,marks,13,190,167,0.8986792435561621
study2,marks,14,198,159,0.8094936870242596
study2,marks,15,175,196,0.8778841737295805
study2,marks,16,218,139,0.8051177455580562
study2,marks,17,196,169,0.8823726982109785
study2,marks,18,196,161,0.7909670577586797
study2,marks,19,174,200,0.9111137397643184
study2,marks,20,188,182,0.918899280909101
study2,marks,21,189,185,0.7631421217687681
study2,marks,22,164,212,0.7520208850512882
study2,marks,23,211,170,0.8452409074031706
study2,marks,24,184,173,0.840220859811781
study2,marks,25,204,153,0.7823949908464978
study2,marks,26,203,168,0.8630020146159432
study2,marks,27,209,165,0.8569094178837205
study2,marks,28,209,148,0.9304960633823265
study2,marks,29,159,215,0.8396397671354598
study2,marks,30,195,162,0.8354789881531373
study2,marks,31,184,173,0.8018812660009758
study2,marks,32,180,177,0.9232242697686167
study2,marks,33,198,176,0.8746225400601213
study2,marks,34,176,198,0.8802857099373235
study2,marks,35,174,196,0.8195427923331018
study2,marks,36,181,191,0.8420762724214644
study2,marks,37,182,175,0.8483253024720884
study2,marks,38,178,192,0.8343009827944263
study2,marks,39,186,188,0.8746639443342583
study2,marks,40,149,218,0.866280702866276
study2,marks,41,168,189,0.8464547394737076
study2,marks,42,184,197,0.8486100356221782
study2,marks,43,206,168,0.9004189769563951
study2,marks,44,172,193,0.8958770907875537
study2,marks,45,180,187,0.8941119021084608
study2,marks,46,173,184,0.90044191951988
study2,marks,47,165,192,0.9285346036610936
study2,marks,48,196,185,0.8974474957195782
study2,marks,49,154,203,0.9211712135625291
study2,marks,50,168,189,0.8131724139693912
study1,rigour,51,245,158,0.9280958930786758
study1,rigour,52,217,198,0.8556332937840764
study1,rigour,53,160,248,0.9086541787692196
study1,rigour,54,190,198,0.8597289434223863
study1,rigour,55,218,201,0.8640833234627197
study1,rigour,56,171,219,0.898173274609416
study1,rigour,57,226,175,0.9161606697716523
study1,rigour,58,212,202,0.8359532248926911
study1,rigour,59,202,186,0.8693767042942372
study1,rigour,60,218,170,0.8907223147289791
study1,rigour,61,211,202,0.939028477525724
study1,rigour,62,191,204,0.8341745834923946
study1,rigour,63,186,233,0.9023126688432959
study1,rigour,64,186,207,0.8362325795658054
study1,rigour,65,177,224,0.9567850030604881
study1,rigour,66,185,216,0.9599545110440504
study1,rigour,67,200,188,0.8735859740533563
study1,rigour,68,171,223,0.871800463669526
study1,rigour,69,221,167,0.8779731038065076
study1,rigour,70,216,172,0.8663362883154064
study1,rigour,71,204,192,0.9159294600032022
study1,rigour,72,226,192,0.9270112639910603
study1,rigour,73,216,178,0.9132061453584326
study1,rigour,74,246,158,0.9273701354654965
study1,rigour,75,222,180,0.8449082296851951
study1,rigour,76,211,208,0.8684940116028032
study1,rigour,77,217,173,0.8370264162152304
study1,rigour,78,208,190,0.9323180115585666
study1,rigour,79,185,226,0.9557615841973972
study1,rigour,80,203,185,0.9628712176795967
study1,rigour,81,181,207,0.9015063940163541
study1,rigour,82,201,218,0.9021084836778699
study1,rigour,83,196,212,0.8653951110317429
study1,rigour,84,192,215,0.823243440901919
study1,rigour,85,167,234,0.8399269319819894
study1,rigour,86,204,197,0.8860363746969442
study1,rigour,87,205,200,0.9128389710433423
study1,rigour,88,189,216,0.922833975400952
study1,rigour,89,225,163,0.8887173321708466
study1,rigour,90,194,222,0.9484152259372044
study1,rigour,91,176,227,0.8362967917052342
study1,rigour,92,183,212,0.7876651872699543
study1,rigour,93,193,217,0.941013349676757
study1,rigour,94,229,187,0.8817274850572906
study1,rigour,95,204,184,0.8752037695610267
study1,rigour,96,179,240,0.8907332648180943
study1,rigour,97,193,211,0.8526285046332595
study1,rigour,98,207,197,0.9057737904174596
study1,rigour,99,185,218,0.8947174045810857
study1,rigour,100,225,164,0.8830229047719503
study1,insight,51,141,186,0.7317308929145954
study1,insight,52,157,172,0.6462816149720431
study1,insight,53,167,181,0.6449426853229732
study1,insight,54,183,160,0.59732354447415
study1,insight,55,182,145,0.36655257049715123
study1,insight,56,170,190,0.7317961298798885
study1,insight,57,142,221,0.6116810469774427
study1,insight,58,157,191,0.752702306673345
study1,insight,59,157,179,0.6208100595551397
study1,insight,60,149,189,0.6429510111392521
study1,insight,61,186,152,0.7463449325644985
study1,insight,62,177,173,0.9179331772009343
study1,insight,63,150,168,0.7022077008946969
study1,insight,64,187,168,0.42644416163157806
study1,insight,65,185,194,0.5678535432190489
study1,insight,66,143,158,0.6306892225946304
study1,insight,67,138,185,0.7680815347251784
study1,insight,68,151,186,0.5078969794532068
study1,insight,69,124,197,0.49751245913252934
study1,insight,70,226,109,0.6272298266608928
study1,insight,71,149,206,0.6907697013702543
study1,insight,72,193,173,0.5404505211629325
study1,insight,73,158,171,0.7510904198917154
study1,insight,74,184,165,0.7747637424938022
study1,insight,75,189,171,0.6160884026003293
study1,insight,76,155,201,0.683737433936263
study1,insight,77,173,150,0.36037526447696844
study1,insight,78,129,221,0.568205785872571
study1,insight,79,140,214,0.6959421632414722
study1,insight,80,189,185,0.5221866394076601
study1,insight,81,202,143,0.7414646526210761
study1,insight,82,199,161,0.7938151052074869
study1,insight,83,118,213,0.6000723682161553
study1,insight,84,168,172,0.7640948895871342
study1,insight,85,163,140,0.3439251602164123
study1,insight,86,173,152,0.7355004868115955
study1,insight,87,164,159,0.4187480632389927
study1,insight,88,182,148,0.8185528067601474
study1,insight,89,122,214,0.7893852681509622
study1,insight,90,195,152,0.6952558635275021
study1,insight,91,181,189,0.48769036689172696
study1,insight,92,187,180,0.839816503536991
study1,insight,93,191,176,0.8060296583491403
study1,insight,94,170,181,0.6297807824875555
study1,insight,95,178,177,0.5688013849720136
study1,insight,96,171,169,0.7654970774500809
study1,insight,97,148,157,0.6179484848547802
study1,insight,98,199,138,0.7104568544216786
study1,insight,99,175,172,0.6227284949957469
study1,insight,100,154,220,0.705622043301337
study2,rigour,51,182,168,0.8221626922693127
study2,rigour,52,183,172,0.9132158372946533
study2,rigour,53,149,177,0.839548168527452
study2,rigour,54,230,158,0.7499776914315166
study2,rigour,55,192,182,0.7800366702356872
study2,rigour,56,158,195,0.9028675839760716
study2,rigour,57,168,186,0.8961634455874944
study2,rigour,58,217,134,0.6642773113735895
study2,rigour,59,181,193,0.9097421607693305
study2,rigour,60,174,164,0.8200331035341136
study2,rigour,61,158,179,0.5750634415065925
study2,rigour,62,211,173,0.7711447476317386
study2,rigour,63,187,160,0.877876162336789
study2,rigour,64,206,157,0.8992996899778898
study2,rigour,65,202,193,0.7581758039977707
study2,rigour,66,198,158,0.6533362952210738
study2,rigour,67,172,172,0.5995423853083799
study2,rigour,68,154,178,0.6921019011718111
study2,rigour,69,195,185,0.8690871213294568
study2,rigour,70,165,187,0.6763279951642807
study2,rigour,71,131,184,0.7206969254036227
study2,rigour,72,177,193,0.8085287207683798
study2,rigour,73,177,211,0.8184776466809482
study2,rigour,74,170,168,0.785665874958531
study2,rigour,75,169,208,0.8079697070297337
study2,rigour,76,170,168,0.8701510286750717
study2,rigour,77,164,207,0.7569392728484325
study2,rigour,78,164,163,0.885022211144044
study2,rigour,79,218,172,0.8601112899322104
study2,rigour,80,200,145,0.8228824816204466
study2,rigour,81,146,215,0.7893031154094988
study2,rigour,82,188,188,0.6825892115147753
study2,rigour,83,189,157,0.7879028525620352
study2,rigour,84,163,189,0.6896903706618891
study2,rigour,85,139,190,0.558181501803897
study2,rigour,86,154,189,0.8359246781209259
study2,rigour,87,157,211,0.828176582078976
study2,rigour,88,193,143,0.7514980065199262
study2,rigour,89,117,228,0.7396762139922245
study2,rigour,90,173,158,0.6478035864260038
study2,rigour,91,190,170,0.7709989815452725
study2,rigour,92,202,159,0.8136353522302759
study2,rigour,93,203,193,0.8052299875482452
study2,rigour,94,191,187,0.8340879661699268
study2,rigour,95,193,187,0.7643261993143756
study2,rigour,96,215,184,0.8431908370692643
study2,rigour,97,176,162,0.7907878851434004
study2,rigour,98,159,167,0.9060347952704462
study2,rigour,99,186,170,0.8004654600727473
study2,rigour,100,164,177,0.7779742744667979
study2,insight,51,147,229,0.4575317450434904
study2,insight,52,194,186,0.47918646642900403
study2,insight,53,189,185,0.23634880210742606
study2,insight,54,200,197,0.49332333214511886
study2,insight,55,201,179,0.3011961960652951
study2,insight,56,173,212,0.40893277505229314
study2,insight,57,218,158,0.2377962822450546
study2,insight,58,184,190,0.25194712888493187
study2,insight,59,193,183,0.3626076381434088
study2,insight,60,195,175,0.4839483008217982
study2,insight,61,199,213,0.5038076881993602
study2,insight,62,216,170,0.25928423478078927
study2,insight,63,178,185,0.16661909052690893
study2,insight,64,208,177,0.7472253064087833
study2,insight,65,193,196,0.494456489637326
study2,insight,66,201,200,0.46110312268204584
study2,insight,67,179,199,0.4688848653455891
study2,insight,68,174,202,0.4417223631351123
study2,insight,69,216,172,0.2859624571112933
study2,insight,70,195,185,0.24788722227838336
study2,insight,71,206,184,0.6317206050280801
study2,insight,72,202,174,0.3652519430550458
study2,insight,73,198,183,0.4084227759158484
study2,insight,74,235,174,0.48223606848234396
study2,insight,75,222,173,0.07878911683493066
study2,insight,76,194,184,0.22939335973075975
study2,insight,77,172,204,0.2409465470924991
study2,insight,78,205,200,0.367380639080776
study2,insight,79,191,172,0.2542713216076622
study2,insight,80,228,160,0.23788923944656998
study2,insight,81,189,198,0.6867486027559316
study2,insight,82,184,196,0.5262731425815852
study2,insight,83,199,206,0.4090451492234769
study2,insight,84,198,197,0.563765943919104
study2,insight,85,180,190,0.27668306809489773
study2,insight,86,184,205,0.366231292835781
study2,insight,87,183,203,0.3586410511424524
study2,insight,88,212,183,0.5133410777506399
study2,insight,89,188,199,0.35086772348769035
study2,insight,90,206,177,0.16614534009624474
study2,insight,91,211,190,0.5888427580909624
study2,insight,92,191,188,0.25384333860647434
study2,insight,93,190,180,0.5324202511173389
study2,insight,94,194,208,0.0441843658060522
study2,insight,95,201,196,0.5108281956500295
study2,insight,96,206,193,0.5182233621142831
study2,insight,97,194,182,0.3832117136501883
study2,insight,98,204,182,0.28127016951393374
study2,insight,99,202,191,0.6862159323391196
