study,dimension,JudgeID,Won,Lost,TimeTaken
study1,insight,829,32,43,3
study1,insight,55,36,43,44
study1,insight,55,34,43,7
study1,insight,1220,31,43,111
study1,insight,1220,38,43,14
study1,insight,1220,30,43,1
study1,insight,1220,29,43,6
study1,insight,525,33,43,27
study1,insight,3126,38,43,40
study2,rigour,7438,172,117,13
study2,rigour,7438,122,137,5
study2,rigour,7438,157,152,19
study2,rigour,7438,162,167,9
study2,rigour,7438,147,112,6
study2,rigour,7438,177,127,5
study2,rigour,7438,142,182,5
study2,rigour,7438,127,132,9
study2,rigour,7438,147,167,7
study2,rigour,7438,157,112,2
study2,rigour,7438,172,142,12
study2,rigour,7438,132,117,11
study2,rigour,7438,152,182,2
study2,rigour,7438,177,122,4
study2,rigour,7438,162,137,11
study2,rigour,5584,132,117,276
study2,rigour,5584,137,122,207
study2,rigour,5584,182,177,136
study2,rigour,5584,142,112,107
study2,rigour,5584,167,127,182
study2,rigour,5584,157,152,87
study2,rigour,5595,147,162,183
study2,rigour,5595,172,112,58
study2,rigour,5595,142,132,92
study2,rigour,5595,127,137,76
study2,rigour,5595,152,122,46
study2,rigour,5595,177,167,111
study2,rigour,5595,157,117,24
study2,rigour,5595,172,182,6
study2,rigour,5595,162,117,2
study2,rigour,5595,147,142,11
study2,rigour,5595,157,127,30
study2,rigour,5595,152,182,2
study2,rigour,5595,137,167,27
study2,rigour,5595,177,122,6
study2,rigour,5595,132,112,4
study2,rigour,5595,147,172,14
study2,rigour,5595,162,132,15
study2,rigour,5595,117,122,5
study2,rigour,5595,137,152,4
study2,rigour,5595,167,182,4
study2,rigour,5595,127,112,5
study2,rigour,5595,142,177,5
study2,rigour,5595,157,172,5
study2,rigour,5595,162,177,12
study2,rigour,5595,147,167,5
study2,rigour,5267,132,122,40
study2,rigour,5267,142,182,83
study2,rigour,5267,137,127,90
study2,rigour,5267,162,172,141
study2,rigour,5267,147,117,15
study2,rigour,5267,157,112,7
study2,rigour,5267,152,177,23
study2,rigour,5267,167,112,7
study2,rigour,5267,122,117,21
study2,rigour,5267,172,142,77
study2,rigour,5267,162,147,11
study2,rigour,5267,152,132,12
study2,rigour,5267,137,182,17
study2,rigour,5267,157,127,16
study2,rigour,5267,167,177,14
study2,rigour,5267,162,122,4
study2,rigour,5267,137,142,8
study2,rigour,6034,157,182,108
study2,rigour,6034,132,127,41
study2,rigour,6034,152,172,9
study2,rigour,6034,112,117,4
study2,rigour,6034,137,147,4
study2,rigour,6034,162,177,2
study2,rigour,6034,167,142,3
study2,rigour,6034,117,122,3
study2,rigour,6034,112,182,3
study2,rigour,6034,152,147,2
study2,rigour,6034,157,127,2
study2,rigour,6034,172,132,2
study2,rigour,6034,167,177,2
study2,rigour,6034,162,142,2
study2,rigour,6034,137,122,1
study2,rigour,6034,147,182,4
study2,rigour,6034,172,117,2
study2,rigour,6034,157,112,6
study2,rigour,6034,152,132,7
study2,rigour,6034,137,127,2
study2,rigour,6034,177,122,2
study2,rigour,6034,162,167,2
study2,rigour,5978,182,117,80
study2,rigour,5978,142,112,34
study2,rigour,5978,127,152,115
study2,rigour,5978,147,172,74
study2,rigour,5978,157,132,18
study2,rigour,5978,167,137,35
study2,rigour,5978,177,162,74
study2,rigour,5978,142,122,23
study2,rigour,5978,147,117,57
study2,rigour,5528,152,132,75
study2,rigour,5528,182,127,174
study2,rigour,5528,157,112,96
study2,rigour,5528,172,137,353
study2,rigour,5528,147,117,86
study2,rigour,5528,177,142,36
study2,rigour,5528,167,162,849
study2,rigour,5528,182,122,86
study2,rigour,5528,157,172,190
study2,rigour,5528,127,112,53
study2,rigour,5528,147,152,69
study2,rigour,5528,177,132,6
study2,rigour,5528,167,137,8
study2,rigour,5528,117,122,11
study2,rigour,5528,162,142,9
study2,rigour,5528,127,172,4861
study2,rigour,5528,182,152,27
study2,rigour,5528,132,112,40
study2,rigour,6195,157,112,15
study2,rigour,6195,117,147,51
study2,rigour,6195,177,182,19
study2,rigour,6195,127,172,10
study2,rigour,6195,142,122,10
study2,rigour,6195,152,162,15
study2,rigour,6195,167,137,10
study2,rigour,6195,157,132,3
study2,rigour,6195,117,112,6
study2,rigour,6195,152,167,4
study2,rigour,6195,172,122,5
study2,rigour,6195,127,162,5
study2,rigour,6195,142,132,3
study2,rigour,6195,137,147,4
study2,rigour,6195,157,182,154
study2,rigour,5199,177,117,221
study2,rigour,5199,182,112,130
study2,rigour,5199,127,172,102
study2,rigour,5199,162,167,121
study2,rigour,5199,132,122,10
study2,rigour,5199,147,137,37
study2,rigour,5199,157,142,52
study2,rigour,5199,152,177,24
study2,rigour,5199,127,182,3
study2,rigour,5199,147,117,8
study2,rigour,5199,142,152,8
study2,rigour,5199,112,172,5
study2,rigour,5199,157,132,5
study2,rigour,5199,137,167,7
study2,rigour,5199,162,122,7
study2,rigour,5199,147,177,4
study2,rigour,5199,157,117,5
study2,rigour,5199,142,132,5
study2,rigour,5199,122,112,3
study2,rigour,5199,162,127,6
study2,rigour,5199,182,172,4
study2,rigour,5199,152,167,7
study2,rigour,5199,137,177,8
study2,rigour,5199,147,112,4
study2,rigour,5199,137,122,3
study2,rigour,6017,157,177,38
study2,rigour,6017,182,167,93
study2,rigour,6017,152,162,105
study2,rigour,6017,117,142,96
study2,rigour,6017,172,132,76
study2,rigour,6017,127,122,34
study2,rigour,6017,137,147,15
study2,rigour,6017,127,112,7
study2,rigour,6017,172,167,47
study2,rigour,6017,152,117,5
study2,rigour,5212,132,182,84
study2,rigour,5212,142,162,159
study2,rigour,5212,157,177,138
study2,rigour,5212,117,172,22
study2,rigour,5212,152,167,32
study2,rigour,5212,147,127,22
study2,rigour,5212,122,112,97
study2,rigour,5212,137,162,19
study2,rigour,5212,177,132,168
study2,rigour,5212,157,142,4
study2,rigour,5212,182,167,9
study2,rigour,5212,117,147,4
study2,rigour,5212,137,127,7
study2,rigour,5212,152,172,66
study2,rigour,5212,142,122,4
study2,rigour,5212,157,112,2
study2,rigour,5212,182,162,19
study2,rigour,5212,132,112,10
study2,rigour,5212,137,177,7
study2,rigour,5212,117,127,21
study2,rigour,5212,147,152,10
study2,rigour,5212,122,172,6
study2,rigour,5212,177,167,4
study2,rigour,5212,157,132,5
study2,rigour,5212,142,182,2
study2,rigour,6016,162,127,4
study2,rigour,6016,122,132,3
study2,rigour,6016,172,117,2
study2,rigour,6016,147,152,2
study2,rigour,6016,167,112,3
study2,rigour,6016,157,142,2
study2,rigour,6016,137,182,3
study2,rigour,6016,162,177,2
study2,rigour,6016,147,122,2
study2,rigour,6016,172,182,2
study2,rigour,6016,167,152,2
study2,rigour,6016,132,117,4
study2,rigour,6016,112,142,1
study2,rigour,6016,137,157,2
study2,rigour,6016,177,127,2
study2,rigour,6016,162,142,1
study2,rigour,6016,162,142,6
study2,rigour,6016,157,117,2
study2,rigour,6016,152,172,2
study2,rigour,6016,127,182,2
study2,rigour,6016,167,122,2
study2,rigour,6016,112,147,2
study2,rigour,6821,177,137,38
study2,rigour,6821,132,152,43
study2,rigour,6821,162,172,88
study2,rigour,6821,182,112,26
study2,rigour,6821,127,147,16
study2,rigour,6821,157,167,23
study2,rigour,6821,117,122,13
study2,rigour,6046,137,132,544
study2,rigour,6046,177,122,48
study2,rigour,6046,147,112,33
study2,rigour,6046,127,142,292
study2,rigour,6046,167,152,68
study2,rigour,6046,162,117,2
study2,rigour,6046,172,157,9
study2,rigour,6046,137,182,2
study2,rigour,6046,177,132,4
study2,rigour,6046,147,117,1
study2,rigour,6046,162,122,1
study2,rigour,6046,167,172,10
study2,rigour,6046,152,182,5
study2,rigour,6046,157,127,4
study2,rigour,6046,142,112,2
study2,rigour,6046,137,177,11
study2,rigour,6046,147,132,3
study2,rigour,6046,157,117,3
study2,rigour,6046,152,127,3
study2,rigour,6046,167,112,3
study2,rigour,6046,162,142,2
study2,rigour,6046,182,122,4
study2,rigour,6046,172,177,7
study2,rigour,6046,137,172,5
study2,rigour,6046,167,132,3
study2,rigour,5308,137,117,8
study2,rigour,5308,147,152,29
study2,rigour,5308,157,112,6
study2,rigour,5308,182,122,38
study2,rigour,5308,177,127,12
study2,rigour,5308,142,132,10
study2,rigour,5308,162,172,19
study2,rigour,5308,167,152,6
study2,rigour,5308,127,182,20
study2,rigour,5308,157,137,13
study2,rigour,5308,112,132,33
study2,rigour,5308,177,142,6
study2,rigour,5308,162,117,7
study2,rigour,5308,147,122,10
study2,rigour,5308,167,172,11
study2,rigour,5308,137,182,5
study2,rigour,5308,142,112,8
study2,rigour,5308,177,152,4
study2,rigour,5308,147,132,9
study2,rigour,5308,157,122,4
study2,rigour,5308,127,117,6
study2,rigour,5549,162,122,75
study2,rigour,5549,142,147,41
study2,rigour,5549,182,112,13
study2,rigour,5549,127,172,33
study2,rigour,5549,177,137,53
study2,rigour,5549,157,117,29
study2,rigour,5279,152,137,72
study2,rigour,5549,152,132,25
study2,rigour,5549,162,167,38
study2,rigour,5549,147,182,4
study2,rigour,5549,117,112,3
study2,rigour,5279,167,132,63
study2,rigour,5549,157,127,12
study2,rigour,5549,177,172,5
study2,rigour,5549,142,122,6
study2,rigour,5549,167,137,4
study2,rigour,5549,162,152,11
study2,rigour,5549,157,132,3
study2,rigour,5549,142,172,5
study2,rigour,5279,127,142,81
study2,rigour,5549,127,117,12
study2,rigour,5549,177,182,2
study2,rigour,5549,122,112,6
study2,rigour,5279,147,117,16
study2,rigour,5549,147,132,13
study2,rigour,5549,167,152,4
study2,rigour,5549,162,137,3
study2,rigour,5549,157,182,4
study2,rigour,5549,177,122,3
study2,rigour,5279,157,162,80
study2,rigour,5279,172,112,37
study2,rigour,5279,182,122,35
study2,rigour,5279,162,177,40
study2,rigour,5279,167,172,18
study2,rigour,5279,147,137,58
study2,rigour,5279,142,112,9
study2,rigour,5279,152,127,32
study2,rigour,5279,117,132,13
study2,rigour,5919,182,112,19
study2,rigour,5919,167,177,2
study2,rigour,5919,137,132,8
study2,rigour,5919,117,147,3
study2,rigour,5919,127,157,2
study2,rigour,5919,152,122,0
study2,rigour,5919,142,172,1
study2,rigour,5919,142,162,1
study2,rigour,5919,167,172,1
study2,rigour,5919,182,137,1
study2,rigour,5919,117,152,5
study2,rigour,5919,177,132,1
study2,rigour,5919,112,147,1
study2,rigour,5919,162,157,2
study2,rigour,5919,127,122,1
study2,rigour,5919,137,122,2
study2,rigour,5919,172,147,1
study2,rigour,6051,157,162,98
study2,rigour,6051,177,117,24
study2,rigour,6051,182,112,68
study2,rigour,6051,132,142,68
study2,rigour,6051,127,167,47
study2,rigour,6051,147,152,74
study2,rigour,6051,122,172,50
study2,rigour,6051,137,142,34
study2,rigour,6051,117,112,12
study2,rigour,6051,157,127,7
study2,rigour,6051,177,132,12
study2,rigour,6051,182,162,5
study2,rigour,6051,167,152,12
study2,rigour,5738,157,182,148
study2,rigour,5738,162,167,188
study2,rigour,5738,132,177,76
study2,rigour,5738,152,172,128
study2,rigour,5738,127,112,20
study2,rigour,5738,147,142,2959
study2,rigour,5738,137,122,134
study2,rigour,5738,117,172,8
study2,rigour,5738,117,122,165
study2,rigour,5738,132,162,20
study2,rigour,5738,152,157,12
study2,rigour,5738,142,182,68
study2,rigour,5738,147,112,11
study2,rigour,5738,127,167,18
study2,rigour,5738,177,137,77
study2,rigour,5738,137,182,7
study2,rigour,5738,142,122,60
study2,rigour,5738,177,167,16
study2,rigour,5738,132,147,14
study2,rigour,5738,127,117,8
study2,rigour,5738,172,112,4
study2,rigour,5738,152,162,4
study2,rigour,5738,157,172,16
study2,rigour,5738,142,162,9
study2,rigour,5738,152,112,4
study2,rigour,5731,117,182,94
study2,rigour,5731,137,132,206
study2,rigour,5731,177,147,59
study2,rigour,5731,127,122,33
study2,rigour,5731,157,167,172
study2,rigour,5333,157,167,159
study2,rigour,5731,152,162,156
study2,rigour,5731,112,172,25
study2,rigour,5731,127,142,46
study2,rigour,5333,127,177,111
study2,rigour,5731,122,177,12
study2,rigour,5731,182,132,6
study2,rigour,5731,117,137,8
study2,rigour,5731,162,147,27
study2,rigour,5731,157,152,7
study2,rigour,5731,167,142,7
study2,rigour,5731,132,172,8
study2,rigour,5333,137,132,146
study2,rigour,5333,182,112,33
study2,rigour,5333,147,122,20
study2,rigour,5333,117,172,58
study2,rigour,5333,152,142,100
study2,rigour,5333,122,162,99
study2,rigour,5333,147,137,20
study2,rigour,5506,157,182,48
study2,rigour,5506,127,112,58
study2,rigour,5506,177,117,20
study2,rigour,5506,167,132,19
study2,rigour,5506,137,172,30
study2,rigour,5506,147,122,17
study2,rigour,5506,152,142,37
study2,rigour,5506,162,117,15
study2,rigour,5506,157,127,9
study2,rigour,5506,177,112,10
study2,rigour,5506,167,182,13
study2,rigour,5506,142,122,3
study2,rigour,5506,152,172,10
study2,rigour,5506,147,137,10
study2,rigour,5506,162,132,11
study2,rigour,5506,127,182,5
study2,rigour,5506,157,177,9
study2,rigour,5506,117,167,5
study2,rigour,5829,147,112,18
study2,rigour,5829,167,182,17
study2,rigour,5829,157,142,10
study2,rigour,5829,152,137,11
study2,rigour,5829,177,172,5
study2,rigour,5829,132,127,15
study2,rigour,5829,162,117,12
study2,rigour,5829,112,122,10
study2,rigour,5829,142,132,17
study2,rigour,5829,122,117,14
study2,rigour,5829,157,177,9
study2,rigour,5829,147,167,15
study2,rigour,5829,127,182,16
study2,rigour,5829,162,152,14
study2,rigour,5829,137,172,9
study2,rigour,5829,172,112,14
study2,rigour,5829,177,137,12
study2,rigour,5829,142,162,19
study2,rigour,5829,132,117,12
study2,rigour,5829,157,147,8
study2,rigour,5829,152,167,15
study2,rigour,5829,122,182,8
study2,rigour,5829,112,127,8
study2,rigour,5829,142,117,9
study2,rigour,5829,132,147,17
study2,rigour,5810,157,182,14
study2,rigour,5810,152,172,15
study2,rigour,5810,162,127,4
study2,rigour,5810,167,112,4
study2,rigour,5810,137,122,10
study2,rigour,5810,177,117,39
study2,rigour,5810,147,132,52
study2,rigour,5810,142,137,48
study2,rigour,5810,162,182,48
study2,rigour,5810,127,112,61
study2,rigour,5810,177,152,35
study2,rigour,5810,157,172,19
study2,rigour,5810,167,122,10
study2,rigour,5810,147,117,4
study2,rigour,5810,142,132,7
study2,rigour,5810,172,182,8
study2,rigour,5810,137,177,10
study2,rigour,5810,157,122,6
study2,rigour,5810,167,127,9
study2,rigour,5810,162,152,8
study2,rigour,5810,112,117,7
study2,rigour,5810,142,147,9
study2,rigour,5810,167,132,8
study2,rigour,5810,157,177,8
study2,rigour,5237,127,137,23
study2,rigour,5237,152,162,40
study2,rigour,5237,182,122,13
study2,rigour,5237,172,112,18
study2,rigour,5237,147,117,7
study2,rigour,5237,157,142,24
study2,rigour,5237,177,132,85
study2,rigour,5237,167,172,6
study2,rigour,5237,182,127,6
study2,rigour,5237,137,162,7
study2,rigour,5237,122,112,6
study2,rigour,5237,147,152,5
study2,rigour,5237,177,117,4
study2,rigour,5237,167,132,4
study2,rigour,5237,157,172,6
study2,rigour,5237,142,162,5
study2,rigour,5237,152,137,6
study2,rigour,5237,127,112,3
study2,rigour,5237,157,182,2
study2,rigour,5237,147,122,3
study2,rigour,5237,142,132,2
study2,rigour,5237,167,117,2
study2,rigour,5237,177,112,3
study2,rigour,6034,182,142,2
study2,rigour,6034,152,127,1
study2,rigour,6034,122,162,1
study2,rigour,6031,137,172,238
study2,rigour,6031,162,127,166
study2,rigour,6031,152,117,36
study2,rigour,6031,182,147,89
study2,rigour,6031,177,112,35
study2,rigour,6031,157,122,14
study2,rigour,6031,132,167,7
study2,rigour,6031,137,142,31
study2,rigour,6031,147,172,8
study2,rigour,6031,177,122,9
study2,rigour,6031,182,112,13
study2,rigour,6031,167,117,10
study2,rigour,5990,152,132,17
study2,rigour,5990,162,137,12
study2,rigour,5990,157,172,14
study2,rigour,5990,127,117,8
study2,rigour,5990,112,147,13
study2,rigour,5990,167,142,6
study2,rigour,5990,182,122,6
study2,rigour,5990,162,177,7
study2,rigour,5990,152,137,7
study2,rigour,5990,172,127,4
study2,rigour,2985,157,132,44
study2,rigour,2985,167,182,30
study2,rigour,2985,172,177,276
study2,rigour,2985,162,112,23
study2,rigour,2985,147,122,6
study2,rigour,2985,137,142,23
study2,rigour,2985,152,117,4
study2,rigour,2985,157,127,2
study2,rigour,2985,152,132,3
study2,rigour,2985,127,117,4
study2,rigour,2985,142,112,2
study2,rigour,2985,137,182,3
study2,rigour,2985,167,177,4
study2,rigour,2985,162,122,2
study2,rigour,2985,172,147,7
study2,rigour,2985,147,132,3
study2,rigour,2985,157,172,36
study2,rigour,2985,162,117,2
study2,rigour,2985,112,122,6
study2,rigour,2985,167,137,3
study2,rigour,2985,177,127,3
study2,rigour,2985,142,182,4
study2,rigour,2985,157,152,6
study2,rigour,2985,182,132,3
study2,rigour,2985,137,122,1
study2,rigour,5926,132,127,135
study2,rigour,5926,172,162,74
study2,rigour,5926,157,142,41
study2,rigour,5926,152,167,64
study2,rigour,5926,147,177,28
study2,rigour,5926,117,112,18
study2,rigour,5926,137,122,31
study2,rigour,5926,182,112,24
study2,rigour,5926,172,177,91
study2,rigour,5926,127,167,16
study2,rigour,5926,157,162,9
study2,rigour,5926,147,142,7
study2,rigour,5926,132,117,6
study2,rigour,5926,152,122,10
study2,rigour,5926,137,182,7
study2,rigour,5926,172,117,10
study2,rigour,5926,127,112,5
study2,rigour,5926,157,132,10
study2,rigour,5926,147,167,10
study2,rigour,5926,162,177,9
study2,rigour,5926,152,142,6
study2,rigour,5926,182,122,2
study2,rigour,5926,137,177,8
study2,rigour,5926,162,147,7
study2,rigour,5926,132,142,6
study2,rigour,6295,127,112,15
study2,rigour,6295,167,157,9
study2,rigour,6295,152,117,11
study2,rigour,6295,132,172,8
study2,rigour,6295,162,147,8
study2,rigour,6295,182,137,6
study2,rigour,6295,177,122,6
study2,rigour,6295,142,172,4
study2,rigour,6295,157,117,7
study2,rigour,6295,152,167,6
study2,rigour,5316,127,112,54
study2,rigour,5316,182,172,59
study2,rigour,5316,117,147,40
study2,rigour,5316,177,122,33
study2,rigour,5316,157,152,16
study2,rigour,5807,142,127,238
study2,rigour,5807,132,112,113
study2,rigour,5807,167,162,324
study2,rigour,5807,172,137,299
study2,rigour,5807,177,147,368
study2,rigour,5807,152,117,119
study2,rigour,5807,157,182,1644
study2,rigour,5807,167,122,39
study2,rigour,5807,142,162,56
study2,rigour,5807,137,132,68
study2,rigour,7757,127,112,33
study2,rigour,7757,137,172,14
study2,rigour,7757,142,147,27
study2,rigour,7757,152,132,10
study2,rigour,7757,157,177,9
study2,rigour,7757,167,117,4
study2,rigour,7757,162,122,3
study2,rigour,7757,127,182,4
study2,rigour,7757,132,112,4
study2,rigour,7757,137,152,6
study2,rigour,7757,167,177,7
study2,rigour,6143,142,117,81
study2,rigour,6143,162,172,229
study2,rigour,6143,122,112,117
study2,rigour,6143,127,182,85
study2,rigour,6143,157,147,168
study2,rigour,6143,152,177,183
study2,rigour,6143,137,132,160
study2,rigour,6143,167,112,74
study2,rigour,6143,162,117,153
study2,rigour,6143,147,172,48
study2,rigour,6143,157,127,49
study2,rigour,6143,142,122,84
study2,rigour,6143,152,182,136
study2,rigour,5909,182,157,51
study2,rigour,5909,132,127,25
study2,rigour,5909,177,112,5
study2,rigour,5909,162,122,9
study2,rigour,5909,117,167,17
study2,rigour,5909,147,172,14
study2,rigour,5909,137,142,8
study2,rigour,5909,152,167,10
study2,rigour,5909,117,137,6
study2,rigour,5909,182,122,7
study2,rigour,5909,147,162,6
study2,rigour,5909,127,142,8
study2,rigour,5909,177,172,7
study2,rigour,5909,157,112,4
study2,rigour,5909,132,152,9
study2,rigour,5909,137,172,5
study2,rigour,5909,147,132,6
study2,rigour,5909,117,157,9
study2,rigour,5909,177,127,8
study2,rigour,5909,162,112,39
study2,rigour,5909,122,167,6
study2,rigour,5909,182,142,5
study2,rigour,5909,147,152,5
study2,rigour,5909,122,112,3
study2,rigour,5909,142,172,3
study2,rigour,6048,157,127,28
study2,rigour,6048,182,117,34
study2,rigour,6048,162,167,41
study2,rigour,6048,177,132,33
study2,rigour,6048,137,142,45
study2,rigour,6032,137,132,131
study2,rigour,6048,152,172,35
study2,rigour,6032,157,167,33
study2,rigour,6048,147,122,12
study2,rigour,6048,177,112,21
study2,rigour,6048,162,182,8
study2,rigour,6032,177,182,35
study2,rigour,6032,127,117,5
study2,rigour,6032,112,122,4
study2,rigour,6032,162,142,6
study2,rigour,6048,127,117,23
study2,rigour,6032,172,147,11
study2,rigour,6032,137,152,7
study2,rigour,6048,157,172,20
study2,rigour,6032,167,132,11
study2,rigour,6032,147,122,7
study2,rigour,6032,152,142,10
study2,rigour,6032,127,112,6
study2,rigour,6032,157,117,2
study2,rigour,6032,162,182,3
study2,rigour,6048,167,132,34
study2,rigour,6032,172,177,5
study2,rigour,6032,137,167,6
study2,rigour,6032,177,147,5
study2,rigour,6048,137,152,34
study2,rigour,6048,142,122,20
study2,rigour,6048,147,112,11
study2,rigour,6048,157,117,7
study2,rigour,6032,132,112,46
study2,rigour,6032,162,127,21
study2,rigour,6032,157,182,27
study2,rigour,6032,142,122,21
study2,rigour,6032,152,117,29
study2,rigour,6032,172,182,14
study2,rigour,6032,162,137,8
study2,rigour,6032,167,177,19
study2,rigour,5504,127,132,197
study2,rigour,5504,167,182,541
study2,rigour,5504,147,152,110
study2,rigour,5504,157,137,158
study2,rigour,5504,112,122,145
study2,rigour,5639,127,142,111
study2,rigour,5504,162,117,144
study2,rigour,5639,177,172,144
study2,rigour,5639,157,132,165
study2,rigour,5504,177,172,247
study2,rigour,5639,162,182,269
study2,rigour,5504,162,142,210
study2,rigour,5639,137,152,58
study2,rigour,5504,147,117,60
study2,rigour,5639,167,122,132
study2,rigour,5639,147,112,21
study2,rigour,5639,117,132,7
study2,rigour,5639,127,167,6
study2,rigour,5639,112,122,6
study2,rigour,5639,157,177,13
study2,rigour,5504,112,132,178
study2,rigour,5426,122,127,146
study2,rigour,5639,137,172,43
study2,rigour,5504,142,182,42
study2,rigour,5639,152,182,8
study2,rigour,5426,137,152,65
study2,rigour,5639,162,142,38
study2,rigour,5639,147,117,4
study2,rigour,5639,127,177,5
study2,rigour,5639,167,132,4
study2,rigour,5639,157,172,6
study2,rigour,5639,117,152,7
study2,rigour,5426,132,142,41
study2,rigour,5639,142,122,12
study2,rigour,5639,162,112,4
study2,rigour,5426,177,147,15
study2,rigour,5639,137,182,7
study2,rigour,5426,182,172,9
study2,rigour,5639,157,147,8
study2,rigour,5504,127,152,122
study2,rigour,5639,162,167,4
study2,rigour,5426,157,167,21
study2,rigour,5639,117,172,6
study2,rigour,5426,112,117,15
study2,rigour,5426,162,177,9
study2,rigour,5426,122,137,8
study2,rigour,5426,127,132,10
study2,rigour,5426,157,142,8
study2,rigour,5426,182,152,12
study2,rigour,5859,172,127,5
study2,rigour,5859,122,112,12
study2,rigour,5859,167,177,4
study2,rigour,5859,147,132,8
study2,rigour,5859,137,117,60
study2,rigour,5859,162,152,67
study2,rigour,5859,182,142,35
study2,rigour,5859,157,177,2
study2,rigour,5859,172,132,2
study2,rigour,5859,167,147,2
study2,rigour,5859,137,127,3
study2,rigour,5859,142,112,3
study2,rigour,5859,182,122,6
study2,rigour,5859,157,117,7
study2,rigour,5859,152,177,3
study2,rigour,5859,162,122,4
study2,rigour,5859,127,112,3
study2,rigour,5859,137,132,4
study2,rigour,5859,167,172,10
study2,rigour,5859,142,147,15
study2,rigour,5859,152,117,3
study2,rigour,5859,162,182,3
study2,rigour,5757,127,147,54
study2,rigour,5859,157,122,9
study2,rigour,5859,132,112,2
study2,rigour,5859,172,177,3
study2,rigour,5757,167,137,97
study2,rigour,6582,167,137,172
study2,rigour,5757,157,112,131
study2,rigour,6582,132,122,37
study2,rigour,6582,142,117,60
study2,rigour,5757,117,152,113
study2,rigour,6582,152,177,96
study2,rigour,5757,172,182,65
study2,rigour,6582,172,127,39
study2,rigour,5757,162,132,71
study2,rigour,5757,177,122,14
study2,rigour,5172,137,147,51
study2,rigour,5172,162,112,23
study2,rigour,5172,142,127,16
study2,rigour,6582,162,147,493
study2,rigour,5172,167,182,8
study2,rigour,6582,157,182,20
study2,rigour,5172,157,132,21
study2,rigour,6582,152,112,8
study2,rigour,5172,152,122,31
study2,rigour,6582,137,172,25
study2,rigour,6582,147,117,35
study2,rigour,5172,177,172,38
study2,rigour,5172,117,127,11
study2,rigour,6582,127,177,21
study2,rigour,5172,142,167,14
study2,rigour,6582,142,167,11
study2,rigour,5172,162,122,8
study2,rigour,6582,182,132,30
study2,rigour,6582,157,112,23
study2,rigour,6582,162,122,13
study2,rigour,6582,137,147,16
study2,rigour,6582,152,132,12
study2,rigour,6582,157,142,10
study2,rigour,6582,127,182,6
study2,rigour,6582,117,112,6
study2,rigour,6582,177,172,18
study2,rigour,6582,162,167,11
study2,rigour,6582,137,122,4
study2,rigour,6582,147,112,4
study2,rigour,6582,167,182,10
study2,insight,6364,183,173,47
study2,insight,6364,153,128,31
study2,insight,6364,163,158,20
study2,insight,6364,178,133,22
study2,insight,6364,148,118,14
study2,insight,6364,168,123,12
study2,insight,6364,143,113,20
study2,insight,6364,138,183,10
study2,insight,6364,163,128,13
study2,insight,6787,168,173,134
study2,insight,6787,118,143,38
study2,insight,6787,123,113,96
study2,insight,6787,148,178,76
study2,insight,6787,153,138,681
study2,insight,6787,158,133,211
study2,insight,6787,183,163,17
study2,insight,6787,128,138,33
study2,insight,6787,153,173,16
study2,insight,6787,148,113,32
study2,insight,6364,143,123,5
study2,insight,6364,118,158,3
study2,insight,6364,178,168,3
study2,insight,6364,148,133,7
study2,insight,6364,113,173,4
study2,insight,6364,153,138,4
study2,insight,6364,118,123,5
study2,insight,6364,183,178,3
study2,insight,6364,163,143,2
study2,insight,6364,168,158,2
study2,insight,6364,133,128,2
study2,insight,6364,148,138,1
study2,insight,6364,173,153,1
study2,insight,6364,113,183,1
study2,insight,6364,123,178,1
study2,insight,6364,168,163,1
study2,insight,5966,128,133,19
study2,insight,5966,118,143,29
study2,insight,5966,158,123,8
study2,insight,5966,183,163,14
study2,insight,5966,113,168,20
study2,insight,5966,153,138,12
study2,insight,5966,178,148,7
study2,insight,5966,158,173,54
study2,insight,5966,118,133,12
study2,insight,5966,128,143,6
study2,insight,5966,168,178,9
study2,insight,5966,173,148,5
study2,insight,5966,183,123,6
study2,insight,5966,113,163,3
study2,insight,5966,143,138,4
study2,insight,5966,153,133,4
study2,insight,5966,128,118,3
study2,insight,5966,158,153,3
study2,insight,5966,173,183,7
study2,insight,5966,178,138,3
study2,insight,5966,163,123,2
study2,insight,5966,113,148,2
study2,insight,5966,143,168,4
study2,insight,5966,133,158,4
study2,insight,5966,148,128,2
study2,insight,6328,158,118,117
study2,insight,5839,118,183,34
study2,insight,5839,168,163,29
study2,insight,5839,123,178,18
study2,insight,5839,143,153,90
study2,insight,5839,128,173,127
study2,insight,5839,113,133,8
study2,insight,5839,158,138,31
study2,insight,5839,143,148,7
study2,insight,6939,168,173,56
study2,insight,6939,178,118,31
study2,insight,6939,163,153,110
study2,insight,6939,138,123,11
study2,insight,6939,183,128,123
study2,insight,6939,133,113,21
study2,insight,6939,148,143,120
study2,insight,6939,158,183,53
study2,insight,6939,168,133,13
study2,insight,6939,118,123,7
study2,insight,6939,128,173,41
study2,insight,6939,163,178,209
study2,insight,6939,138,113,4
study2,insight,6939,148,153,5
study2,insight,6855,158,183,38
study2,insight,6855,128,133,35
study2,insight,6855,138,163,59
study2,insight,6855,153,113,126
study2,insight,6855,178,173,41
study2,insight,6855,118,168,7
study2,insight,6855,143,123,36
study2,insight,6855,128,148,37
study2,insight,6855,118,113,9
study2,insight,6855,153,163,12
study2,insight,6855,133,168,16
study2,insight,6855,173,123,7
study2,insight,5448,183,138,55
